"","venue","no_of_matches_played"
"1","Eden Gardens",77
"2","M Chinnaswamy Stadium",73
"3","Wankhede Stadium",73
"4","Feroz Shah Kotla",67
"5","Rajiv Gandhi International Stadium, Uppal",56
"6","MA Chidambaram Stadium, Chepauk",49
"7","Sawai Mansingh Stadium",47
"8","Punjab Cricket Association Stadium, Mohali",35
"9","Maharashtra Cricket Association Stadium",21
"10","Dr DY Patil Sports Academy",17
"11","Subrata Roy Sahara Stadium",17
"12","Kingsmead",15
"13","Punjab Cricket Association IS Bindra Stadium, Mohali",14
"14","Sardar Patel Stadium, Motera",12
"15","SuperSport Park",12
"16","Brabourne Stadium",11
"17","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",11
"18","Saurashtra Cricket Association Stadium",10
"19","Himachal Pradesh Cricket Association Stadium",9
"20","Holkar Cricket Stadium",9
"21","M. A. Chidambaram Stadium",8
"22","New Wanderers Stadium",8
"23","Rajiv Gandhi Intl. Cricket Stadium",8
"24","Barabati Stadium",7
"25","Dubai International Cricket Stadium",7
"26","Feroz Shah Kotla Ground",7
"27","IS Bindra Stadium",7
"28","JSCA International Stadium Complex",7
"29","M. Chinnaswamy Stadium",7
"30","Newlands",7
"31","Sheikh Zayed Stadium",7
"32","St George's Park",7
"33","Shaheed Veer Narayan Singh International Stadium",6
"34","Sharjah Cricket Stadium",6
"35","Nehru Stadium",5
"36","Green Park",4
"37","Buffalo Park",3
"38","De Beers Diamond Oval",3
"39","Vidarbha Cricket Association Stadium, Jamtha",3
"40","ACA-VDCA Stadium",2
"41","OUTsurance Oval",2
